id;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;ano;pessoas;mortos;feridos_leves;feridos_graves;ilesos;ignorados;feridos;veiculos
175420;14/01/2007;Quinta;20:50:00;SC;282;520.3;XAXIM;Falta de ateno;Tombamento;Sem Vtimas;Plena noite;Crescente;Chuva;Simples;Reta;Urbano;2007;1;1;1;1;1;1;1;1
175421;14/01/2007;Quinta;20:10:00;MG;381;784.9;SAO GONCALO DO SAPUCAI;Velocidade incompatvel;Sada de Pista;Sem Vtimas;Plena noite;Decrescente;Chuva;Dupla;Reta;Rural;2007;1;1;1;1;1;1;1;1
175422;14/01/2007;Quinta;14:30:00;GO;153;50.9;PORANGATU;Outras;Sada de Pista;Sem Vtimas;Amanhecer;Crescente;Nublado;Simples;Reta;Rural;2007;1;1;1;1;1;1;1;1
175424;14/01/2007;Quinta;18:00:00;MG;262;27.6;REDUTO;Defeito na via;Coliso lateral;Sem Vtimas;Pleno dia;Crescente;Chuva;Simples;Curva;Rural;2007;1;1;1;1;1;1;1;1
175425;14/01/2007;Quinta;15:40:00;BA;110;383.7;SAO SEBASTIAO DO PASSE;Outras;Tombamento;Sem Vtimas;Pleno dia;Decrescente;Nublado;Simples;Curva;Rural;2007;1;1;1;1;1;1;1;1
175426;14/01/2007;Quinta;22:15:00;RS;101;86.9;OSORIO;Defeito na via;Sada de Pista;Sem Vtimas;Plena noite;Decrescente;Nublado;Simples;Curva;Rural;2007;1;1;1;1;1;1;1;1
175427;12/01/2007;Tera;14:00:00;SP;116;548.5;BARRA DO TURVO;Outras;Coliso com objeto fixo;Sem Vtimas;Pleno dia;Crescente;Chuva;Mltipla;Curva;Rural;2007;1;1;1;1;1;1;1;1
175428;14/01/2007;Quinta;15:30:00;BA;116;455;FEIRA DE SANTANA;Falta de ateno;Coliso traseira;Sem Vtimas;Pleno dia;Crescente;Chuva;Simples;Reta;Urbano;2007;3;1;1;1;2;1;1;3
175429;14/01/2007;Quinta;21:10:00;RS;116;253.4;SAPUCAIA DO SUL;Falta de ateno;Coliso traseira;Sem Vtimas;Plena noite;Crescente;Chuva;Mltipla;Reta;Urbano;2007;2;1;1;1;2;1;1;2
175432;12/01/2007;Tera;13:20:00;ES;262;139.2;MUNIZ FREIRE;Animais na Pista;Atropelamento de animal;Sem Vtimas;Pleno dia;Crescente;Chuva;Simples;Curva;Rural;2007;1;1;1;1;1;1;1;1
175433;11/01/2007;Segunda;19:00:00;SP;116;545;BARRA DO TURVO;Velocidade incompatvel;Coliso com objeto fixo;Com Vtimas Feridas;Pleno dia;Crescente;Chuva;Simples;Curva;Rural;2007;2;1;1;1;1;1;1;1
175434;14/01/2007;Quinta;10:30:00;BA;101;478.1;URUCUCA;Outras;Sada de Pista;Sem Vtimas;Pleno dia;Decrescente;Chuva;Simples;Reta;Rural;2007;1;1;1;1;1;1;1;1
175435;14/01/2007;Quinta;13:40:00;MG;381;410;CAETE;Outras;Coliso lateral;Com Vtimas Feridas;Pleno dia;Crescente;Chuva;Simples;Curva;Urbano;2007;2;1;1;1;1;1;1;2
175436;14/01/2007;Quinta;18:15:00;PE;101;82;JABOATAO DOS GUARARAPES;Falta de ateno;Coliso traseira;Com Vtimas Feridas;Plena noite;Crescente;Ceu Claro;Simples;Reta;Urbano;2007;3;1;1;1;2;1;1;2
175437;13/01/2007;Quarta;16:40:00;RJ;393;250.7;BARRA DO PIRAI;Defeito na via;Danos Eventuais;Sem Vtimas;Pleno dia;Crescente;Chuva;Simples;Curva;Rural;2007;1;1;1;1;1;1;1;1
175438;14/01/2007;Quinta;10:15:00;MG;267;262.4;AIURUOCA;Defeito na via;Coliso traseira;Sem Vtimas;Pleno dia;Crescente;Chuva;Simples;Curva;Rural;2007;2;1;1;1;2;1;1;2
175439;13/01/2007;Quarta;17:00:00;MG;381;753.5;CAMPANHA;Velocidade incompatvel;Sada de Pista;Com Vtimas Feridas;Pleno dia;Crescente;Chuva;Dupla;Reta;Rural;2007;2;1;1;1;1;1;1;1
175440;11/01/2007;Segunda;14:30:00;PA;316;24;BENEVIDES;No guardar distncia de segurana;Coliso traseira;Com Vtimas Feridas;Pleno dia;Decrescente;Chuva;Dupla;Reta;Rural;2007;5;1;1;1;3;1;2;3
175442;13/01/2007;Quarta;16:10:00;ES;262;168.1;IBATIBA;Falta de ateno;Sada de Pista;Com Vtimas Feridas;Pleno dia;Crescente;Chuva;Simples;Reta;Rural;2007;3;1;1;1;1;1;2;1
175443;14/01/2007;Quinta;17:50:00;MG;365;595.8;INDIANOPOLIS;Falta de ateno;Coliso traseira;Com Vtimas Fatais;Pleno dia;Crescente;Nublado;Simples;Reta;Rural;2007;3;1;1;1;1;1;1;2
175444;14/01/2007;Quinta;19:20:00;RS;116;192.9;PICADA CAFE;Velocidade incompatvel;Sada de Pista;Com Vtimas Feridas;Pleno dia;Crescente;Chuva;Simples;Curva;Rural;2007;1;1;1;1;1;1;1;1
175445;14/01/2007;Quinta;15:30:00;CE;116;73.1;CHOROZINHO;No guardar distncia de segurana;Coliso traseira;Com Vtimas Fatais;Pleno dia;Crescente;Sol;Simples;Reta;Rural;2007;8;1;1;2;4;1;3;2
175446;14/01/2007;Quinta;16:30:00;RS;116;361.1;CAMAQUA;Outras;Sada de Pista;Com Vtimas Feridas;Pleno dia;Decrescente;Chuva;Simples;Curva;Rural;2007;3;1;2;1;1;1;2;1
175447;14/01/2007;Quinta;18:00:00;RS;116;150;CAXIAS DO SUL;Falta de ateno;Coliso traseira;Sem Vtimas;Anoitecer;Crescente;Chuva;Dupla;Reta;Urbano;2007;3;1;1;1;3;1;1;3
175448;14/01/2007;Quinta;15:40:00;SE;101;64.1;ROSARIO DO CATETE;No guardar distncia de segurana;Coliso traseira;Sem Vtimas;Pleno dia;Crescente;Chuva;Simples;Reta;Urbano;2007;4;1;1;1;4;1;1;4
175449;11/01/2007;Segunda;10:50:00;SC;101;202.6;SAO JOSE;Falta de ateno;Coliso Transversal;Com Vtimas Feridas;Plena noite;Crescente;Ceu Claro;Dupla;Reta;Urbano;2007;3;1;1;1;2;1;1;2
175450;13/01/2007;Quarta;19:00:00;RS;116;241.5;NOVO HAMBURGO;Falta de ateno;Coliso traseira;Sem Vtimas;Pleno dia;Crescente;Chuva;Dupla;Reta;Urbano;2007;3;1;1;1;3;1;1;3
175451;14/01/2007;Quinta;17:30:00;PR;116;49.1;CAMPINA GRANDE DO SUL;Outras;Capotamento;Sem Vtimas;Pleno dia;Decrescente;Chuva;Dupla;Reta;Rural;2007;1;1;1;1;1;1;1;1
175452;14/01/2007;Quinta;17:30:00;TO;153;199.8;NOVA OLINDA;Ultrapassagem indevida;Coliso lateral;Sem Vtimas;Pleno dia;Crescente;Nublado;Simples;Reta;Rural;2007;2;1;1;1;2;1;1;2
175453;14/01/2007;Quinta;17:50:00;PR;116;44.5;CAMPINA GRANDE DO SUL;Outras;Capotamento;Com Vtimas Feridas;Pleno dia;Crescente;Chuva;Dupla;Curva;Rural;2007;2;1;2;1;1;1;2;1
175455;14/01/2007;Quinta;21:30:00;SP;116;159.5;JACAREI;Outras;Sada de Pista;Sem Vtimas;Plena noite;Decrescente;Chuva;Mltipla;Reta;Urbano;2007;1;1;1;1;1;1;1;1
